scale,anchor,rho_kauc,rho_per_token,rho_kauc_no_boolq,rho_per_token_no_boolq,n_datasets
1.5b,last (published),+0.6429,+0.5238,+0.8929,+0.8571,8
1.5b,mean_last_3,+0.4524,+0.4048,+0.7857,+0.7143,8
1.5b,mean_last_5,+0.1905,+0.1667,+0.5714,+0.5357,8
1.5b,mean_last_10,+0.1667,+0.0476,+0.3214,+0.4286,8
1.5b,median_last_5,+0.2143,+0.1429,+0.6071,+0.5000,8
1.5b,min_last_5,+0.3810,+0.3333,+0.6786,+0.6071,8
1.5b,min_last_10,+0.2143,+0.0952,+0.2857,+0.3214,8
1.5b,min_overall,+0.3810,+0.0476,+0.5000,+0.3214,8
3b,last (published),+0.0479,-0.1198,-0.0180,-0.1982,8
3b,mean_last_3,-0.2381,-0.1190,-0.2500,-0.1071,8
3b,mean_last_5,-0.3571,-0.1667,-0.5000,-0.2500,8
3b,mean_last_10,+0.0000,-0.0238,-0.2500,-0.2143,8
3b,median_last_5,-0.0476,+0.0238,-0.0714,-0.1429,8
3b,min_last_5,+0.0714,+0.2381,+0.0000,+0.0714,8
3b,min_last_10,-0.0238,-0.0238,-0.1786,-0.1071,8
3b,min_overall,+0.0952,+0.0952,-0.1071,-0.1071,8
